method,data,type,colums,func,start,end,width,height,errorbound,error,ssim,iterations,totaltime,sqltime
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,1000,600,0.05,0,0,1,0.898,0.208
ours,sensordata,static,5;4;3;2;1;7;6,L2,0,-1,1200,600,0.05,0,0,1,0.969,0.223
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,200,600,0.05,0,0,1,0.376,0.073
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,400,600,0.05,0,0,1,0.482,0.107
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,600,600,0.05,0,0,1,0.553,0.135
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,800,600,0.05,0,0,1,0.641,0.151
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,1000,600,0.05,0,0,1,0.807,0.179
ours,sensordata,static,5;4;3;2;1;7;6,weightsum,0,-1,1200,600,0.05,0,0,1,0.880,0.198
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,200,600,0.05,0,0,0,0.042,0.029
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,400,600,0.05,0,0,0,0.062,0.042
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,600,600,0.05,0,0,0,0.094,0.053
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,800,600,0.05,0,0,0,0.125,0.062
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,1000,600,0.05,0,0,0,0.154,0.082
ours,soccerdata,static,5;3;1;2;4;6,func1,0,-1,1200,600,0.05,0,0,0,0.180,0.080
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,200,600,0.05,0,0,0,0.031,0.015
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,400,600,0.05,0,0,0,0.094,0.035
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,600,600,0.05,0,0,0,0.096,0.054
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,800,600,0.05,0,0,0,0.144,0.074
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,1000,600,0.05,0,0,0,0.147,0.082
ours,soccerdata,static,5;3;1;2;4;6,boxcox0,0,-1,1200,600,0.05,0,0,0,0.175,0.085
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,200,600,0.05,0,0,8,0.167,0.094
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,400,600,0.05,0,0,10,0.303,0.155
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,600,600,0.05,0,0,10,0.441,0.220
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,800,600,0.05,0,0,11,0.590,0.293
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,1000,600,0.05,0,0,9,0.713,0.331
ours,soccerdata,static,5;3;1;2;4;6,plus,0,-1,1200,600,0.05,0,0,11,0.786,0.355
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,200,600,0.05,0,0,8,0.185,0.106
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,400,600,0.05,0,0,10,0.303,0.166
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,600,600,0.05,0,0,11,0.444,0.218
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,800,600,0.05,0,0,10,0.579,0.289
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,1000,600,0.05,0,0,10,0.750,0.352
ours,soccerdata,static,5;3;1;2;4;6,minus,0,-1,1200,600,0.05,0,0,10,0.864,0.392
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,200,600,0.05,0,0,7,0.201,0.117
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,400,600,0.05,0,0,9,0.345,0.188
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,600,600,0.05,0,0,9,0.498,0.240
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,800,600,0.05,0,0,9,0.635,0.314
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,1000,600,0.05,0,0,12,0.654,0.310
ours,soccerdata,static,5;3;1;2;4;6,multi,0,-1,1200,600,0.05,0,0,11,0.863,0.403
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,200,600,0.05,0,0,88,0.946,0.543
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,400,600,0.05,0,0,85,1.387,0.729
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,600,600,0.05,0,0,72,1.685,0.839
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,800,600,0.05,0,0,58,1.932,0.930
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,1000,600,0.05,0,0,50,2.041,0.993
ours,soccerdata,static,5;3;1;2;4;6,devide,0,-1,1200,600,0.05,0,0,46,2.294,1.058
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,200,600,0.05,0,0,28,0.352,0.197
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,400,600,0.05,0,0,26,0.614,0.292
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,600,600,0.05,0,0,25,0.927,0.435
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,800,600,0.05,0,0,25,1.163,0.536
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,1000,600,0.05,0,0,24,1.410,0.620
ours,soccerdata,static,5;3;1;2;4;6,func4,0,-1,1200,600,0.05,0,0,24,1.550,0.676
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,200,600,0.05,0,0,11,0.370,0.177
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,400,600,0.05,0,0,8,0.534,0.229
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,600,600,0.05,0,0,9,0.808,0.313
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,800,600,0.05,0,0,8,1.072,0.396
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,1000,600,0.05,0,0,9,1.431,0.470
ours,soccerdata,static,5;3;1;2;4;6,mean,0,-1,1200,600,0.05,0,0,11,1.754,0.546
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,200,600,0.05,0,0,7,0.340,0.159
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,400,600,0.05,0,0,8,0.643,0.237
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,600,600,0.05,0,0,11,0.951,0.326
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,800,600,0.05,0,0,9,1.138,0.391
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,1000,600,0.05,0,0,10,1.367,0.450
ours,soccerdata,static,5;3;1;2;4;6,variance,0,-1,1200,600,0.05,0,0,10,1.688,0.492
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,200,600,0.05,0,0,1,0.185,0.100
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,400,600,0.05,0,0,1,0.304,0.125
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,600,600,0.05,0,0,1,0.374,0.151
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,800,600,0.05,0,0,1,0.528,0.187
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,1000,600,0.05,0,0,1,0.543,0.191
ours,soccerdata,static,5;3;1;2;4;6,max,0,-1,1200,600,0.05,0,0,1,0.651,0.202
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,200,600,0.05,0,0,7,0.277,0.139
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,400,600,0.05,0,0,8,0.618,0.238
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,600,600,0.05,0,0,12,0.870,0.325
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,800,600,0.05,0,0,9,1.174,0.391
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,1000,600,0.05,0,0,10,1.380,0.455
ours,soccerdata,static,5;3;1;2;4;6,L2,0,-1,1200,600,0.05,0,0,12,1.645,0.503
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,200,600,0.05,0,0,7,0.342,0.176
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,400,600,0.05,0,0,6,0.615,0.236
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,600,600,0.05,0,0,11,0.806,0.309
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,800,600,0.05,0,0,8,1.061,0.386
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,1000,600,0.05,0,0,9,1.216,0.453
ours,soccerdata,static,5;3;1;2;4;6,weightsum,0,-1,1200,600,0.05,0,0,11,1.522,0.505
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,200,600,0.05,0,0,0,0.047,0.039
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,400,600,0.05,0,0,0,0.067,0.045
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,600,600,0.05,0,0,0,0.088,0.055
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,800,600,0.05,0,0,0,0.102,0.056
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,1000,600,0.05,0,0,0,0.125,0.067
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func1,0,-1,1200,600,0.05,0,0,0,0.163,0.080
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,200,600,0.05,0,0,0,0.034,0.019
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,400,600,0.05,0,0,0,0.050,0.029
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,600,600,0.05,0,0,0,0.072,0.043
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,800,600,0.05,0,0,0,0.097,0.056
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,1000,600,0.05,0,0,0,0.115,0.060
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,boxcox0,0,-1,1200,600,0.05,0,0,0,0.156,0.077
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,200,600,0.05,0,0,7,0.120,0.070
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,400,600,0.05,0,0,9,0.202,0.111
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,600,600,0.05,0,0,5,0.234,0.120
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,800,600,0.05,0,0,7,0.322,0.163
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,1000,600,0.05,0,0,9,0.415,0.190
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,plus,0,-1,1200,600,0.05,0,0,5,0.387,0.178
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,200,600,0.05,0,0,7,0.116,0.069
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,400,600,0.05,0,0,9,0.191,0.101
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,600,600,0.05,0,0,4,0.229,0.118
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,800,600,0.05,0,0,7,0.316,0.159
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,1000,600,0.05,0,0,9,0.412,0.185
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,minus,0,-1,1200,600,0.05,0,0,5,0.416,0.187
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,200,600,0.05,0,0,10,0.107,0.071
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,400,600,0.05,0,0,10,0.188,0.105
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,600,600,0.05,0,0,6,0.229,0.118
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,800,600,0.05,0,0,7,0.318,0.158
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,1000,600,0.05,0,0,9,0.409,0.183
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,multi,0,-1,1200,600,0.05,0,0,5,0.360,0.175
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,200,600,0.05,0,0,41,0.164,0.102
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,400,600,0.05,0,0,33,0.280,0.138
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,600,600,0.05,0,0,25,0.339,0.169
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,800,600,0.05,0,0,21,0.392,0.193
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,1000,600,0.05,0,0,19,0.457,0.206
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,devide,0,-1,1200,600,0.05,0,0,17,0.531,0.239
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,200,600,0.05,0,0,25,0.247,0.141
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,400,600,0.05,0,0,21,0.402,0.203
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,600,600,0.05,0,0,20,0.548,0.260
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,800,600,0.05,0,0,19,0.716,0.333
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,1000,600,0.05,0,0,17,0.687,0.333
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,func4,0,-1,1200,600,0.05,0,0,17,0.830,0.374
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,200,600,0.05,0,0,7,0.348,0.140
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,400,600,0.05,0,0,9,0.684,0.232
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,600,600,0.05,0,0,4,0.783,0.241
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,800,600,0.05,0,0,6,0.935,0.309
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,1000,600,0.05,0,0,9,1.231,0.375
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,mean,0,-1,1200,600,0.05,0,0,5,1.191,0.366
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,200,600,0.05,0,0,9,0.330,0.138
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,400,600,0.05,0,0,3,0.418,0.147
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,600,600,0.05,0,0,4,0.599,0.183
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,800,600,0.05,0,0,4,0.847,0.227
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,1000,600,0.05,0,0,4,1.155,0.271
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,variance,0,-1,1200,600,0.05,0,0,4,0.819,0.254
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,200,600,0.05,0,0,1,0.115,0.054
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,400,600,0.05,0,0,1,0.204,0.089
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,600,600,0.05,0,0,1,0.308,0.117
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,800,600,0.05,0,0,1,0.403,0.129
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,1000,600,0.05,0,0,1,0.440,0.138
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,max,0,-1,1200,600,0.05,0,0,1,0.522,0.148
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,200,600,0.05,0,0,9,0.255,0.118
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,400,600,0.05,0,0,9,0.489,0.204
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,600,600,0.05,0,0,5,0.571,0.212
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,800,600,0.05,0,0,6,0.771,0.277
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,1000,600,0.05,0,0,9,1.042,0.343
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,L2,0,-1,1200,600,0.05,0,0,5,0.874,0.293
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,200,600,0.05,0,0,6,0.275,0.129
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,400,600,0.05,0,0,1,0.356,0.146
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,600,600,0.05,0,0,3,0.437,0.175
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,800,600,0.05,0,0,2,0.575,0.209
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,1000,600,0.05,0,0,3,0.760,0.228
ours,stockdata,static,9;5;1;2;3;4;6;7;8;10,weightsum,0,-1,1200,600,0.05,0,0,4,1.198,0.343
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,200,600,0.05,0,0,1,0.052,0.037
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,400,600,0.05,0,0,1,0.086,0.050
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,600,600,0.05,0,0,1,0.124,0.073
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,800,600,0.05,0,0,1,0.171,0.069
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,1000,600,0.05,0,0,1,0.141,0.079
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func1,0,-1,1200,600,0.05,0,0,1,0.165,0.089
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,200,600,0.05,0,0,0,0.026,0.017
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,400,600,0.05,0,0,0,0.050,0.031
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,600,600,0.05,0,0,0,0.069,0.041
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,800,600,0.05,0,0,0,0.098,0.052
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,1000,600,0.05,0,0,0,0.124,0.068
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,boxcox0,0,-1,1200,600,0.05,0,0,0,0.124,0.071
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,200,600,0.05,0,0,24,0.242,0.132
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,400,600,0.05,0,0,18,0.327,0.159
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,600,600,0.05,0,0,16,0.437,0.225
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,800,600,0.05,0,0,17,0.493,0.228
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,1000,600,0.05,0,0,17,0.591,0.277
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,plus,0,-1,1200,600,0.05,0,0,17,0.750,0.311
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,200,600,0.05,0,0,33,0.293,0.168
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,400,600,0.05,0,0,24,0.413,0.194
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,600,600,0.05,0,0,18,0.444,0.217
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,800,600,0.05,0,0,18,0.590,0.255
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,1000,600,0.05,0,0,17,0.719,0.296
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,minus,0,-1,1200,600,0.05,0,0,17,0.720,0.320
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,200,600,0.05,0,0,33,0.265,0.149
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,400,600,0.05,0,0,27,0.398,0.199
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,600,600,0.05,0,0,25,0.543,0.262
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,800,600,0.05,0,0,28,0.641,0.306
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,1000,600,0.05,0,0,26,0.768,0.337
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,multi,0,-1,1200,600,0.05,0,0,24,0.797,0.353
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,200,600,0.05,0,0,28,0.295,0.165
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,400,600,0.05,0,0,17,0.355,0.172
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,600,600,0.05,0,0,14,0.430,0.198
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,800,600,0.05,0,0,14,0.482,0.214
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,1000,600,0.05,0,0,11,0.515,0.225
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,devide,0,-1,1200,600,0.05,0,0,9,0.557,0.225
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,200,600,0.05,0,0,43,0.389,0.213
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,400,600,0.05,0,0,39,0.636,0.283
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,600,600,0.05,0,0,35,0.849,0.349
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,800,600,0.05,0,0,34,0.999,0.427
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,1000,600,0.05,0,0,32,1.175,0.489
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,func4,0,-1,1200,600,0.05,0,0,30,1.384,0.524
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,200,600,0.05,0,0,130,2.313,0.947
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,400,600,0.05,0,0,84,3.364,1.112
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,600,600,0.05,0,0,71,3.898,1.274
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,800,600,0.05,0,0,57,3.629,1.213
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,1000,600,0.05,0,0,57,4.349,1.553
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,mean,0,-1,1200,600,0.05,0,0,49,4.813,1.658
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,200,600,0.05,0,0,35,0.766,0.316
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,400,600,0.05,0,0,24,1.090,0.379
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,600,600,0.05,0,0,22,1.408,0.468
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,800,600,0.05,0,0,20,1.698,0.533
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,1000,600,0.05,0,0,20,2.017,0.608
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,variance,0,-1,1200,600,0.05,0,0,19,2.333,0.640
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,200,600,0.05,0,0,17,0.448,0.189
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,400,600,0.05,0,0,13,0.623,0.214
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,600,600,0.05,0,0,9,0.666,0.210
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,800,600,0.05,0,0,10,0.864,0.231
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,1000,600,0.05,0,0,10,1.076,0.285
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,max,0,-1,1200,600,0.05,0,0,10,1.182,0.300
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,200,600,0.05,0,0,54,1.297,0.484
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,400,600,0.05,0,0,37,1.828,0.570
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,600,600,0.05,0,0,31,1.801,0.611
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,800,600,0.05,0,0,29,2.141,0.704
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,1000,600,0.05,0,0,28,2.424,0.747
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,L2,0,-1,1200,600,0.05,0,0,27,2.758,0.850
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,200,600,0.05,0,0,45,0.936,0.376
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,400,600,0.05,0,0,34,1.438,0.496
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,600,600,0.05,0,0,27,1.754,0.588
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,800,600,0.05,0,0,28,2.124,0.713
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,1000,600,0.05,0,0,26,2.352,0.721
ours,traffic,static,1;2;3;4;5;6;7;8;9;10,weightsum,0,-1,1200,600,0.05,0,0,26,2.747,0.847
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,200,600,0.05,0,0,1,0.039,0.031
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,400,600,0.05,0,0,1,0.058,0.039
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,600,600,0.05,0,0,1,0.094,0.054
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,800,600,0.05,0,0,1,0.143,0.073
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,1000,600,0.05,0,0,1,0.177,0.088
ours,synthetic1m,static,1;2;3;4;5,func1,0,-1,1200,600,0.05,0,0,1,0.175,0.089
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,200,600,0.05,0,0,0,0.029,0.017
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,400,600,0.05,0,0,0,0.049,0.027
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,600,600,0.05,0,0,0,0.072,0.039
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,800,600,0.05,0,0,0,0.101,0.046
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,1000,600,0.05,0,0,0,0.127,0.059
ours,synthetic1m,static,1;2;3;4;5,boxcox0,0,-1,1200,600,0.05,0,0,0,0.124,0.060
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,200,600,0.05,0,0,11,0.137,0.076
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,400,600,0.05,0,0,1,0.101,0.047
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,600,600,0.05,0,0,1,0.131,0.059
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,800,600,0.05,0,0,1,0.171,0.078
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,1000,600,0.05,0,0,1,0.221,0.085
ours,synthetic1m,static,1;2;3;4;5,plus,0,-1,1200,600,0.05,0,0,1,0.320,0.099
