experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.305 ; sqltime: 0.080
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.416 ; sqltime: 0.099
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.495 ; sqltime: 0.130
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.597 ; sqltime: 0.159
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.723 ; sqltime: 0.196
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.811 ; sqltime: 0.217
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.296 ; sqltime: 0.071
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.452 ; sqltime: 0.111
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.538 ; sqltime: 0.142
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.703 ; sqltime: 0.170
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.801 ; sqltime: 0.203
experiment: ours ; table: sensordata ; interacttype:  ; columns: 5,4,3,2,1,7,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.910 ; sqltime: 0.221
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.195 ; sqltime: 0.095
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.362 ; sqltime: 0.149
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.402 ; sqltime: 0.172
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.464 ; sqltime: 0.193
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.589 ; sqltime: 0.212
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.659 ; sqltime: 0.221
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.267 ; sqltime: 0.143
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.512 ; sqltime: 0.237
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.771 ; sqltime: 0.307
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 1.090 ; sqltime: 0.401
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 1.295 ; sqltime: 0.488
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 1.441 ; sqltime: 0.532
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.280 ; sqltime: 0.146
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.492 ; sqltime: 0.228
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.726 ; sqltime: 0.300
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.951 ; sqltime: 0.378
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 1.121 ; sqltime: 0.414
experiment: ours ; table: soccerdata ; interacttype:  ; columns: 5,3,1,2,4,6 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: weightsum ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 1.278 ; sqltime: 0.461
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.183 ; sqltime: 0.076
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.267 ; sqltime: 0.103
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 600 ; startTime: 0 ; endTime: -1 ; totaltime: 0.398 ; sqltime: 0.129
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 800 ; startTime: 0 ; endTime: -1 ; totaltime: 0.505 ; sqltime: 0.143
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1000 ; startTime: 0 ; endTime: -1 ; totaltime: 0.569 ; sqltime: 0.161
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: max ; width: 1200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.714 ; sqltime: 0.194
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 200 ; startTime: 0 ; endTime: -1 ; totaltime: 0.310 ; sqltime: 0.141
experiment: ours ; table: stockdata ; interacttype:  ; columns: 9,5,1,2,3,4,6,7,8,10 ; memLimit: 0 ; errorBound: 0.1 ; symbolName: L2 ; width: 400 ; startTime: 0 ; endTime: -1 ; totaltime: 0.582 ; sqltime: 0.226
